Date,Open DM,High DM,Low DM,Close DM,Adj CloseDM,Volume DM,Open AI,High AI,Low AI,Close AI,Adj Close AI,Volume AI,,,,
26-07-2021,3410,3499.5,3398.300049,3483.550049,3483.550049,319728,545,553.849976,542.099976,544.049988,544.049988,5118493,,,,
27-07-2021,3499,3533.399902,3465.25,3499.399902,3499.399902,286345,545.799988,545.799988,536.150024,540.549988,540.549988,5727485,,,,
28-07-2021,3499,3518.199951,3441.100098,3488.5,3488.5,172832,539.5,570.700012,537.849976,567.900024,567.900024,31932505,,,,
29-07-2021,3500,3524,3492.25,3502.600098,3502.600098,131747,574.099976,576.700012,565,567.150024,567.150024,15552340,,,,
30-07-2021,3524,3524,3475.25,3500.800049,3500.800049,270545,565.900024,568.5,557.799988,561.650024,561.650024,9938812,,,,
02-08-2021,3524.800049,3524.800049,3486,3502.399902,3502.399902,147600,566,569.950012,560,565.150024,565.150024,6254864,,,,
03-08-2021,3508,3579,3504,3566.25,3566.25,224336,568,582,562.099976,580.200012,580.200012,21280806,,,,
04-08-2021,3575,3609,3535.850098,3593.050049,3593.050049,197380,575,586.900024,570.299988,574.400024,574.400024,21414510,,,,
05-08-2021,3600,3624.449951,3551,3564.149902,3564.149902,117492,577.5,619,577.5,598.700012,598.700012,71088770,,,,
06-08-2021,3569,3593,3520,3529.199951,3529.199951,128769,594.5,616.950012,588.5,607.900024,607.900024,28520160,,,,
09-08-2021,3549,3577.649902,3501,3523,3523,254763,610,612.700012,597.549988,599.25,599.25,9892910,,,,
10-08-2021,3541,3586.550049,3515,3551.649902,3551.649902,162584,602.200012,628,598.400024,622.200012,622.200012,33878294,,,,
11-08-2021,3551.649902,3575,3465,3563.949951,3563.949951,167988,622.200012,629.25,613.700012,620.849976,620.849976,18386089,,,,
12-08-2021,3573.800049,3589,3546.600098,3561,3561,114737,623,628.950012,617,623.150024,623.150024,8274954,,,,
13-08-2021,3584,3634.449951,3518,3594.550049,3594.550049,292706,623.150024,638.799988,618.099976,637.049988,637.049988,20690579,,,,
16-08-2021,3594,3659,3566.300049,3633.5,3633.5,180469,638.75,644,632,634.049988,634.049988,10312706,,,,
17-08-2021,3655,3655,3604,3634.350098,3634.350098,201361,634.049988,638,623,626.349976,626.349976,11102775,,,,
18-08-2021,3640,3668.25,3626.149902,3650.600098,3650.600098,147888,625.900024,634,620.849976,622.950012,622.950012,7005347,,,,
20-08-2021,3650,3707.149902,3618,3643.100098,3643.100098,232756,619.5,633,607,613.700012,613.700012,12534832,,,,
23-08-2021,3663,3700,3644,3673.75,3673.75,163347,618.400024,630.5,607.599976,622.650024,622.650024,12554898,,,,
24-08-2021,3700,3770,3680,3708.550049,3708.550049,343937,627.950012,627.950012,617.049988,620.099976,620.099976,5776595,,,,
25-08-2021,3749.949951,3847.449951,3716.149902,3789.699951,3789.699951,332203,622.349976,622.349976,611,612.450012,612.450012,7977884,,,,
26-08-2021,3814,3889.800049,3800.050049,3847.800049,3847.800049,532719,610,611.5,584.299988,586.900024,586.900024,25831904,,,,
27-08-2021,3887,3898,3815,3833.050049,3833.050049,349704,588.799988,605.400024,585.049988,595.150024,595.150024,16141223,,,,
30-08-2021,3862,3899,3835.300049,3888.350098,3888.350098,267923,596,625,590.099976,620.450012,620.450012,39759785,,,,
31-08-2021,3899,3979.75,3871.149902,3954.800049,3954.800049,378858,626.049988,668.099976,625,664.049988,664.049988,59661820,,,,
01-09-2021,3978,4015,3960.050049,3968.600098,3968.600098,249485,668,673.299988,654,666.400024,666.400024,30228814,,,,
02-09-2021,3979,3984.449951,3911,3917.649902,3917.649902,206216,669.950012,673.75,664.049988,666.5,666.5,18601857,,,,
03-09-2021,3940,3961.699951,3925.050049,3938.899902,3938.899902,262989,668,669.599976,654,658.450012,658.450012,7774350,,,,
06-09-2021,3959.899902,3960,3902.199951,3921.300049,3921.300049,227165,664.400024,665.75,653.400024,654.599976,654.599976,10035041,,,,
07-09-2021,3938,3963.699951,3875.100098,3937.550049,3937.550049,357260,657.950012,680.5,648,670.549988,670.549988,27665704,,,,
08-09-2021,3945,3977,3921.100098,3932.949951,3932.949951,462531,678,683.799988,665,667.849976,667.849976,20492200,,,,
09-09-2021,3934,3964,3908,3950.5,3950.5,154864,667.849976,688.200012,667.049988,686.150024,686.150024,19419892,,,,
13-09-2021,3951,3986.149902,3948.100098,3961.850098,3961.850098,145925,692,697,685.849976,693.299988,693.299988,19341527,,,,
14-09-2021,3970,4000,3964.899902,3979.699951,3979.699951,203689,682.191833,686.805237,676.400574,681.406616,681.406616,11694600,,,,
15-09-2021,3979.899902,3992.199951,3961,3982.600098,3982.600098,339798,684.154968,721.405579,683.320679,712.129761,712.129761,56796797,,,,
16-09-2021,3982.600098,4100,3981.050049,4084.5,4084.5,486429,721.454712,723.417847,702.215881,705.356934,705.356934,45001991,,,,
17-09-2021,4124,4294.649902,4120,4239.649902,4239.649902,767511,707.712708,721.20929,707.712708,714.730896,714.730896,26649321,,,,
20-09-2021,4208,4430,4151,4355.899902,4355.899902,438432,711.638977,720.17865,707.025574,711.589905,711.589905,14330899,,,,
21-09-2021,4415.100098,4450,4305.049805,4361.950195,4361.950195,437837,709.577698,727.098694,708.694275,713.258545,713.258545,14216876,,,,
22-09-2021,4373,4420,4331.200195,4378.649902,4378.649902,243996,713.602112,718.559082,710.755554,713.35675,713.35675,16348622,,,,
23-09-2021,4408.950195,4500,4372.350098,4409.899902,4409.899902,325049,719.884155,726.460693,709.872131,713.405823,713.405823,26497345,,,,
24-09-2021,4440,4461,4405,4422.350098,4422.350098,198742,715.614319,739.122986,714.583679,725.773621,725.773621,72175065,,,,
27-09-2021,4435,4448.950195,4292.5,4385.75,4385.75,555192,731,731.900024,718.150024,722.549988,722.549988,11282248,,,,
28-09-2021,4397,4421.899902,4294.950195,4315.75,4315.75,305671,724.400024,726.799988,686,696.150024,696.150024,21944239,,,,
29-09-2021,4316,4395.950195,4202,4251.200195,4251.200195,377254,697,702,689.150024,694.099976,694.099976,16729859,,,,
30-09-2021,4259.75,4310,4205.25,4250.200195,4250.200195,339960,695.799988,709.799988,686.799988,688.299988,688.299988,13911568,,,,
01-10-2021,4250,4284.200195,4220.100098,4235.600098,4235.600098,203932,687.349976,687.349976,667.650024,675.900024,675.900024,14952128,,,,
04-10-2021,4393.950195,4464.350098,4232.200195,4257.350098,4257.350098,906261,675,686.200012,669.700012,681.400024,681.400024,8917898,,,,
05-10-2021,4284,4284,4246.850098,4257.299805,4257.299805,242566,684.400024,703.450012,680.400024,699.25,699.25,25598885,,,,
06-10-2021,4292.149902,4295,4205,4218.549805,4218.549805,301394,705.75,707.950012,688.200012,691.400024,691.400024,10406502,,,,
07-10-2021,4254.950195,4337,4251,4311.700195,4311.700195,570321,695.75,702.200012,691.299988,692.5,692.5,8121590,,,,
08-10-2021,4326.399902,4421.950195,4299.049805,4407.950195,4407.950195,314758,695.150024,699.549988,688.900024,695.5,695.5,6297352,,,,
11-10-2021,4438,4840,4407,4719.450195,4719.450195,1017160,693.099976,696.049988,685,690.849976,690.849976,8792050,,,,
12-10-2021,4780,4895,4718.850098,4739,4739,817027,691,698.400024,684.200012,686.349976,686.349976,8579567,,,,
13-10-2021,4777,5595,4760.25,5117.149902,5117.149902,2593684,689,696.799988,683.099976,689.900024,689.900024,7062149,,,,
14-10-2021,5194,5420,5180.049805,5323.75,5323.75,1187904,693,694,681.849976,685.799988,685.799988,9820591,,,,
18-10-2021,5599,5900,4851.100098,4897.799805,4897.799805,4748382,700,701.950012,679.650024,680.599976,680.599976,8574445,,,,
19-10-2021,5000,5100,4725,4754.549805,4754.549805,1804742,699,699,675.450012,681.099976,681.099976,7328862,,,,
20-10-2021,4789,4860,4470.25,4596.399902,4596.399902,1677557,683.400024,713.900024,681.400024,708.450012,708.450012,21217306,,,,
21-10-2021,4650,4699.5,4500,4521.25,4521.25,1028678,710.950012,712.349976,689.200012,696.049988,696.049988,8908979,,,,
22-10-2021,4559,4560,4482,4521.450195,4521.450195,739603,698.5,705.299988,684.25,694.5,694.5,6587256,,,,
25-10-2021,4534.299805,4550,4351,4400.600098,4400.600098,591416,693,704,675,691.099976,691.099976,9540441,,,,
26-10-2021,4419,4599,4365,4568.5,4568.5,637834,695,709.849976,689,696.200012,696.200012,10953878,,,,
27-10-2021,4600,4770,4591.549805,4733,4733,762605,699.400024,714.650024,694,702.349976,702.349976,11878571,,,,
28-10-2021,4748,4776.850098,4620,4675.649902,4675.649902,375073,702.75,706.049988,684.400024,689.75,689.75,8884507,,,,
29-10-2021,4669,4725,4561.149902,4635.450195,4635.450195,437818,692.200012,701,677.049988,685.349976,685.349976,8602343,,,,
01-11-2021,4670,4708,4550,4564.75,4564.75,392446,689.950012,722.799988,689.599976,712.5,712.5,17121001,,,,
02-11-2021,4596.700195,4666.799805,4580,4597.049805,4597.049805,304774,712.5,723.099976,709.549988,713.950012,713.950012,7725455,,,,
03-11-2021,4644,4790,4600,4741.299805,4741.299805,462222,725.75,732.5,696,699.099976,699.099976,23261507,,,,
04-11-2021,4780,4824.799805,4760.049805,4783.700195,4783.700195,136777,704,704.799988,699.200012,701.099976,701.099976,1064714,,,,
08-11-2021,4783,4867.299805,4720,4748.5,4748.5,340161,707.450012,714.900024,704,709,709,7565546,,,,
09-11-2021,4748,4774.299805,4723.700195,4757.149902,4757.149902,180363,711.700012,716.450012,705.150024,713.200012,713.200012,5278131,,,,
10-11-2021,4745,5000,4726,4960.299805,4960.299805,1128493,717.5,738,707.349976,735.450012,735.450012,15180490,,,,
11-11-2021,4960.299805,5040,4901.149902,4997.75,4997.75,735028,735,738.599976,724.25,728.599976,728.599976,7421118,,,,
12-11-2021,5044.950195,5097.649902,5026.950195,5078.549805,5078.549805,487061,733,745,725.25,743.5,743.5,9207508,,,,
15-11-2021,5075,5075,4980,5023.299805,5023.299805,324397,740,746,736.200012,737.549988,737.549988,5454742,,,,
16-11-2021,5025,5100,4982,5081.5,5081.5,538836,741.349976,742.049988,727.049988,730.299988,730.299988,4639931,,,,
17-11-2021,5080,5180,5079.75,5126.399902,5126.399902,447914,724.549988,732.349976,716.25,720.049988,720.049988,8002927,,,,
18-11-2021,5130,5180,5037,5080.899902,5080.899902,428372,720.599976,723.450012,708,714.349976,714.349976,4469597,,,,
22-11-2021,5100,5100,4782,4828.299805,4828.299805,650655,740,755.950012,733.099976,742.099976,742.099976,36884348,,,,
23-11-2021,4829,4920,4758.149902,4843.299805,4843.299805,580934,745,761,735.700012,758.900024,758.900024,18240414,,,,
24-11-2021,4876,4958.950195,4850.049805,4882.600098,4882.600098,483901,764,781.799988,756.25,758.900024,758.900024,21653712,,,,
25-11-2021,4930,4930,4854.649902,4894.5,4894.5,364378,759.049988,768.5,752.799988,765.150024,765.150024,8483653,,,,
26-11-2021,4860,4860,4700.100098,4718.75,4718.75,518551,763,763,733.099976,738.75,738.75,11142921,,,,
29-11-2021,4687,4721,4455,4673.350098,4673.350098,609710,752,755,727.099976,739.349976,739.349976,15885643,,,,
30-11-2021,4673.399902,4800,4661,4710.899902,4710.899902,790479,740,750.200012,722.650024,728.25,728.25,14272616,,,,
01-12-2021,4750,4848,4666,4693.700195,4693.700195,374830,733,737.400024,718.25,722.25,722.25,10488561,,,,
02-12-2021,4750,4794.549805,4718.450195,4782.950195,4782.950195,351343,723.900024,735.700012,714.150024,732.549988,732.549988,11507427,,,,
03-12-2021,4799,4850,4775,4799.049805,4799.049805,287731,730,734.650024,716.299988,718.349976,718.349976,11024093,,,,
06-12-2021,4820,4821.950195,4580,4593.450195,4593.450195,466595,718,721.900024,693.849976,697.599976,697.599976,8804487,,,,
07-12-2021,4674.700195,4719,4611,4660.649902,4660.649902,435517,702.349976,705.700012,694.099976,698.849976,698.849976,10238693,,,,
08-12-2021,4708.200195,4842,4708.200195,4814.600098,4814.600098,763280,705,719,702.299988,715.150024,715.150024,8296393,,,,
09-12-2021,4822,4878.399902,4777,4821.200195,4821.200195,316687,716.799988,723.950012,711,713.950012,713.950012,9069515,,,,
10-12-2021,4798,4809.700195,4775.5,4796.600098,4796.600098,173574,711,718.900024,707,710.700012,710.700012,4251339,,,,
13-12-2021,4830,4870,4750,4765.799805,4765.799805,283323,715,718.400024,698.349976,703.099976,703.099976,9896899,,,,
14-12-2021,4764.75,4840,4714.100098,4814.399902,4814.399902,352396,701,706.299988,688.400024,691.599976,691.599976,9275631,,,,
15-12-2021,4799.899902,4814.25,4740,4749.450195,4749.450195,410084,691.75,694.900024,684.099976,685.450012,685.450012,7674319,,,,
16-12-2021,4801,4815.149902,4726.149902,4742.100098,4742.100098,243570,689.900024,689.900024,677.599976,681.400024,681.400024,9633006,,,,
17-12-2021,4771,4791.25,4672.149902,4697.799805,4697.799805,454824,681,685.700012,661.099976,666.049988,666.049988,13850460,,,,
20-12-2021,4669,4690,4552.25,4618.950195,4618.950195,310441,659.150024,661.150024,645.099976,658.25,658.25,11812939,,,,
21-12-2021,4612.5,4677,4571.049805,4587.399902,4587.399902,312536,663.950012,670.900024,659.200012,667,667,8084499,,,,
22-12-2021,4627.950195,4695.5,4587.399902,4655.850098,4655.850098,338380,667,686,667,684.75,684.75,8522226,,,,
23-12-2021,4711.25,4711.25,4631.399902,4647.899902,4647.899902,204211,689,689,675.5,678.75,678.75,5602466,,,,
24-12-2021,4674,4674,4615,4628.899902,4628.899902,122078,682.099976,682.849976,672.650024,677.049988,677.049988,3756020,,,,
27-12-2021,4599,4680,4555.25,4668.649902,4668.649902,294366,674.950012,678.349976,668.650024,675.75,675.75,3658572,,,,
28-12-2021,4680,4760.950195,4645,4721.950195,4721.950195,320963,679.849976,683.5,675.049988,680.049988,680.049988,3892590,,,,
29-12-2021,4739,4748.700195,4675,4683.950195,4683.950195,176720,679.950012,683.5,675,676.849976,676.849976,3847574,,,,
30-12-2021,4677.5,4699,4625,4639.350098,4639.350098,195753,677.5,685.799988,674.200012,679.349976,679.349976,5701612,,,,
31-12-2021,4641,4692.75,4636,4671.450195,4671.450195,172788,680.5,694.099976,680,683.799988,683.799988,4598628,,,,
03-01-2022,4770,4799,4701.200195,4711.5,4711.5,534384,687.799988,692.599976,683.099976,691.299988,691.299988,2939833,,,,
04-01-2022,4758.899902,4758.899902,4685,4726.950195,4726.950195,242287,692.25,703.25,690.400024,697.450012,697.450012,6473875,,,,
05-01-2022,4725,4725,4646,4687.399902,4687.399902,287948,700.900024,702.75,691.75,700,700,4586105,,,,
06-01-2022,4669.100098,4716,4642.649902,4705.649902,4705.649902,361505,702,720.5,700,710.400024,710.400024,21642414,,,,
07-01-2022,4715,4748,4696.149902,4731.350098,4731.350098,301517,713.900024,715.150024,701.450012,704.700012,704.700012,4315015,,,,
10-01-2022,4784.899902,4784.899902,4620,4633.549805,4633.549805,1037618,705.400024,711.349976,703.650024,704.950012,704.950012,3565324,,,,
11-01-2022,4649,4654.899902,4499,4504.899902,4504.899902,791417,703,709.549988,694.599976,703.450012,703.450012,10642484,,,,
12-01-2022,4500,4500,4165.299805,4276.100098,4276.100098,2521043,707.950012,732.700012,704.200012,730.200012,730.200012,12366953,,,,
13-01-2022,4276,4354.450195,4221.600098,4254.600098,4254.600098,1090010,729,735.650024,726.150024,731.799988,731.799988,5829874,,,,
14-01-2022,4266,4344.450195,4256.149902,4322.700195,4322.700195,896929,729.950012,730.900024,718.450012,720.599976,720.599976,5344096,,,,
17-01-2022,4365,4414,4290.450195,4400.5,4400.5,870335,720,734.75,719.549988,728.599976,728.599976,4340924,,,,
18-01-2022,4425,4500,4381,4441.149902,4441.149902,940894,727,730.700012,712.549988,714.349976,714.349976,4312058,,,,
19-01-2022,4459,4505,4365,4483.399902,4483.399902,579886,714,715,701.700012,703.700012,703.700012,5879490,,,,
